run_accession sra_ftp
ERR1041955 E5.8.919.fastq
ERR1041956 E5.8.920.fastq
ERR1041957 E5.8.921.fastq
ERR1041958 E5.8.922.fastq
ERR1041959 E5.9.923.fastq
ERR1041960 E5.9.924.fastq
ERR1041961 E5.9.925.fastq
ERR1041962 E5.9.927.fastq
ERR1041963 E5.9.928.fastq
ERR1041964 E5.9.929.fastq
ERR1041965 E5.9.930.fastq
ERR1041966 E5.9.931.fastq
ERR1041967 E5.early.31.3058.fastq
ERR1041968 E5.early.31.3059.fastq
ERR1041969 E5.early.31.3060.fastq
ERR1041970 E5.early.31.3062.fastq
ERR1041971 E5.early.31.3064.fastq
ERR1041972 E5.early.31.3068.fastq
ERR1041973 E5.early.31.3069.fastq
ERR1041974 E5.early.31.3070.fastq
ERR1041975 E5.early.31.3071.fastq
ERR1041976 E5.early.31.3072.fastq
ERR1041977 E5.early.36.3215.fastq
ERR1041978 E5.early.36.3216.fastq
ERR1041979 E5.early.36.3217.fastq
ERR1041980 E5.early.36.3218.fastq
ERR1041981 E5.early.36.3219.fastq
ERR1041982 E5.early.36.3220.fastq
ERR1041983 E5.early.36.3221.fastq
ERR1041984 E5.early.36.3222.fastq
ERR1041985 E5.early.36.3223.fastq
ERR1041986 E5.early.36.3224.fastq
ERR1041987 E5.early.36.3225.fastq
ERR1041988 E5.early.36.3226.fastq
ERR1041989 E5.early.36.3227.fastq
ERR1041990 E5.early.36.3228.fastq
ERR1041991 E6.1.72.fastq
ERR1041992 E6.1.73.fastq
ERR1041993 E6.1.74.fastq
ERR1041994 E6.1.77.fastq
ERR1041995 E6.1.78.fastq
ERR1041996 E6.1.79.fastq
ERR1041997 E6.1.80.fastq
ERR1041998 E6.1.81.fastq
ERR1041999 E6.1.82.fastq
ERR1042000 E6.1.83.fastq
ERR1042001 E6.1.84.fastq
ERR1042002 E6.1.85.fastq
ERR1042003 E6.1.86.fastq
ERR1042004 E6.1.88.fastq
ERR1042005 E6.1.89.fastq
ERR1042006 E6.1.90.fastq
ERR1042007 E6.10.1043.fastq
ERR1042008 E6.10.1044.fastq
ERR1042009 E6.10.1045.fastq
ERR1042010 E6.10.1046.fastq
ERR1042011 E6.10.1047.fastq
ERR1042012 E6.10.1048.fastq
ERR1042013 E6.10.1049.fastq
ERR1042014 E6.10.1050.fastq
ERR1042015 E6.10.1051.fastq
ERR1042016 E6.10.1052.fastq
ERR1042017 E6.10.1055.fastq
ERR1042018 E6.10.1056.fastq
ERR1042019 E6.10.1057.fastq
ERR1042020 E6.10.1058.fastq
ERR1042021 E6.10.1060.fastq
ERR1042022 E6.10.1061.fastq
ERR1042023 E6.11.1064.fastq
ERR1042024 E6.11.1065.fastq
ERR1042025 E6.11.1068.fastq
ERR1042026 E6.11.1070.fastq
ERR1042027 E6.11.1071.fastq
ERR1042028 E6.11.1074.fastq
ERR1042029 E6.11.1076.fastq
ERR1042030 E6.12.1266.fastq
ERR1042031 E6.12.1267.fastq
ERR1042032 E6.12.1268.fastq
ERR1042033 E6.12.1269.fastq
ERR1042034 E6.12.1270.fastq
ERR1042035 E6.12.1271.fastq
ERR1042036 E6.12.1272.fastq
ERR1042037 E6.12.1273.fastq
ERR1042038 E6.12.1274.fastq
ERR1042039 E6.12.1275.fastq
ERR1042040 E6.12.1276.fastq
ERR1042041 E6.12.1277.fastq
ERR1042042 E6.12.1278.fastq
ERR1042043 E6.12.1279.fastq
ERR1042044 E6.12.1280.fastq
ERR1042045 E6.12.1281.fastq
ERR1042046 E6.12.1286.fastq
ERR1042047 E6.12.1287.fastq
ERR1042048 E6.12.1288.fastq
ERR1042049 E6.12.1289.fastq
ERR1042050 E6.12.1290.fastq
ERR1042051 E6.12.1291.fastq
ERR1042052 E6.12.1292.fastq
ERR1042053 E6.12.1293.fastq
ERR1042054 E6.12.1294.fastq
ERR1042055 E6.12.1295.fastq
ERR1042056 E6.12.1296.fastq
ERR1042057 E6.12.1297.fastq
ERR1042058 E6.12.1482.fastq
ERR1042059 E6.12.1483.fastq
ERR1042060 E6.12.1484.fastq
ERR1042061 E6.12.1485.fastq
ERR1042062 E6.12.1486.fastq
ERR1042063 E6.12.1487.fastq
ERR1042064 E6.12.1488.fastq
ERR1042065 E6.13.1362.fastq
ERR1042066 E6.13.1363.fastq
ERR1042067 E6.13.1364.fastq
ERR1042068 E6.13.1365.fastq
ERR1042069 E6.13.1366.fastq
ERR1042070 E6.13.1367.fastq
ERR1042071 E6.13.1368.fastq
ERR1042072 E6.13.1369.fastq
ERR1042073 E6.13.1370.fastq
ERR1042074 E6.13.1371.fastq
ERR1042075 E6.13.1372.fastq
ERR1042076 E6.13.1373.fastq
ERR1042077 E6.13.1374.fastq
ERR1042078 E6.13.1375.fastq
ERR1042079 E6.13.1376.fastq
ERR1042080 E6.13.1377.fastq
ERR1042081 E6.13.1378.fastq
ERR1042082 E6.13.1379.fastq
ERR1042083 E6.13.1380.fastq
ERR1042084 E6.13.1381.fastq
ERR1042085 E6.13.1382.fastq
ERR1042086 E6.13.1383.fastq
ERR1042087 E6.13.1384.fastq
ERR1042088 E6.13.1385.fastq
ERR1042089 E6.13.1386.fastq
ERR1042090 E6.13.1387.fastq
ERR1042091 E6.13.1388.fastq
ERR1042092 E6.13.1389.fastq
ERR1042093 E6.13.1390.fastq
ERR1042094 E6.13.1391.fastq
ERR1042095 E6.13.1392.fastq
ERR1042096 E6.13.1393.fastq
ERR1042097 E6.13.1394.fastq
ERR1042098 E6.13.1395.fastq
ERR1042099 E6.13.1396.fastq
ERR1042100 E6.13.1397.fastq
ERR1042101 E6.13.1398.fastq
ERR1042102 E6.13.1399.fastq
ERR1042103 E6.13.1400.fastq
ERR1042104 E6.14.1402.fastq
ERR1042105 E6.14.1403.fastq
ERR1042106 E6.14.1404.fastq
ERR1042107 E6.14.1405.fastq
ERR1042108 E6.14.1406.fastq
ERR1042109 E6.14.1407.fastq
ERR1042110 E6.14.1409.fastq
ERR1042111 E6.14.1410.fastq
ERR1042112 E6.14.1411.fastq
ERR1042113 E6.14.1412.fastq
ERR1042114 E6.14.1413.fastq
ERR1042115 E6.14.1414.fastq
ERR1042116 E6.14.1415.fastq
ERR1042117 E6.14.1416.fastq
ERR1042118 E6.14.1417.fastq
ERR1042119 E6.14.1418.fastq
ERR1042120 E6.14.1419.fastq
ERR1042121 E6.14.1420.fastq
ERR1042122 E6.14.1421.fastq
ERR1042123 E6.14.1422.fastq
ERR1042124 E6.14.1423.fastq
ERR1042125 E6.14.1424.fastq
ERR1042126 E6.14.1425.fastq
ERR1042127 E6.14.1426.fastq
ERR1042128 E6.14.1427.fastq
ERR1042129 E6.14.1428.fastq
ERR1042130 E6.14.1429.fastq
ERR1042131 E6.14.1430.fastq
ERR1042132 E6.14.1431.fastq
ERR1042133 E6.14.1432.fastq
ERR1042134 E6.14.1433.fastq
ERR1042135 E6.15.1434.fastq
ERR1042136 E6.15.1435.fastq
